ABOO AVL Rojinegro
13240428 2114679 3548300
10895479 1409189 1853650
65064742 2127599 1968870
14564658 2034260 1967000
11248969 1422790 1526780
80152120 2547060 3050190
26602527 1905970 38728205
30144057 1809359 1613989
12116358 1739880 1760030
54324634 1747689 1844930
21733117 1895490 1945580
10746459 1674689 1912910
9194359 1579350 2204860
61922142 1868630 1672640
10040748 1949049 1624170
6844579 1882090 1760380
58400383 1912440 2028039
11444618 1967669 1990870
9174989 1547450 1759840
7511489 1424399 50273974
17487728 1419650 2058470
11591858 1429700 1672170
6071429 1659940 1756060
56588513 2029640 1523140
15271848 2135660 1539900
7598439 1364630 1578920
6828979 1553830 1373689
58164463 1943630 2073910
20748427 1921770 1796780
16300759 52424393 1616330
15220358 2079180 2080750
15971648 1924569 1778550
9177109 53551573 1940920
20406758 2108199 2094810
17089638 2073890 2065750
65507041 1847541 1701569
11390019 2040829 2075039
8815069 1812150 1650830
8638759 42488275 2091650
23745667 2142290 2092330
11853298 2074940 2062180
64353382 2020700 1900370
28553947 2140439 2222650
68224382 2050739 3770200
17578348 1816630 1798349
11084349 2114630 1829700
69081861 1741820 1654200
14868498 4680919 1967430
13191169 38126216 1885910
17036768 2025590 1807230
11417559 2407420 1794359
10064769 1856349 1628310
67025332 2394230 6277199
83891380 2137449 1871449
16355878 2234380 1629350
69261451 2118230 1659220
18813769 1990870 1973220
68475772 1824540 6184030
12137969 1687479 1773730
7025390 1357520 1393419
6865519 1546430 1645560
77031261 1735399 1726969
15852218 2050560 1824140
78051030 2158880 2110770
17362967 1435060 1571400
62295812 2189450 2112110
29829626 2174300 2061120
62526582 1735990 1453549
11917539 1895970 1346330
9510898 1589410 1526960
7255849 1461120 46684014
10562759 1362260 1524459
15519318 2332670 1993220
74434881 1576600 1385140
8727509 1651220 5438720
16465619 1418289 1744469
10044139 46080044 2052810
24576197 2035980 2040019
19347838 2046340 1719030
52071883 5283159 1625120
15648028 1935480 1960980
12342298 2055970 1489160
79201610 1708670 1880820
9849348 1753440 1493960
8845559 42557165 1953570
24329568 2332589 1761860
74778131 2207789 2070499
19662268 1705409 1981950
6953969 1426949 1390510
5478239 1487889 1700990
63179912 2157300 2960440
26980076 2316800 1928789
60732994 2251371 2085380
20933497 1984890 1937020
66218592 1810859 1378010
8212049 1466890 1515100
6554719 1507300 1594600
8786619 1948390 1387599
56992663 2184960 1695641
17142917 3240810 1482180
7970519 1475680 1348090
6310899 1459680 54254233
26358226 2013999 2015049
17183548 1957490 50804294
19547207 1921940 2034620
12632388 2085710 2099640
66835121 2031569 2177090
19935237 1413800 1482890
8018139 1467080 1504990
66129202 2097349 2095880
13554098 2065140 1928910
7483149 1445190 1435550
56096393 2076510 2034529
13338568 1598479 1412970
6680289 2065900 1680490
6963879 1492240 1441890
6555679 1454410 50402024
21821127 1733920 1520901
7917339 1732480 1497390
9251889 54756773 2010350
19967487 2282400 2005990
10621069 1495329 1837129
67016872 2327049 1986980
12234098 1750929 1451231
6562539 1796940 1528800
76878081 1870270 1983379
22666328 1855140 2033930
75072901 2258789 1744710
13094729 2042360 2087739
9832509 1520590 1462629
69096431 2012870 1986190
15424859 1745629 1916720
75366981 2298020 2171190
94664728 2242939 1980080
20057058 60904632 2080110
19641898 2106310 2150280
10536919 1917290 54867334
29567317 2027200 1782520
73566980 2133960 2070240
14106208 1492170 1457120
6854849 1661580 1448609
6502590 1375490 1369549
64930602 1873070 1479100
9951299 1533580 1523950
6816478 1569441 1572270
66493312 2259860 2191020
15290799 1761929 1889080
10699249 1785260 1811750
66819382 2205420 2037120
11440139 2055599 1657730
10852859 2088000 1706530
78375300 13046179 2076940
15534217 2033620 2017730
59498273 2215689 1545299
15519748 1710810 1559350
8683509 1632770 1749160
